Date(UTC),Latitude,Longitude,Depth,Magnitude
2015-10-17 07:01:31,-20.58,-70.63,17,4.5
2015-10-16 16:58:28,-30.57,-71.62,37,4.4
2015-10-16 12:49:09,-31.46,-71.72,37,4.3
2015-10-16 06:50:34,-30.62,-71.53,41,4.1
2015-10-16 04:43:58,-20.07,-68.89,115,4.8
2015-10-15 22:18:44,-30.67,-71.74,37,4.3
2015-10-15 20:39:02,-30.57,-71.63,33,4.5
2015-10-15 19:23:22,-30.57,-71.61,36,5.1
2015-10-15 18:01:31,-22.74,-68.97,118,4.5
2015-10-15 11:03:10,-30.86,-71.73,46,4.6
2015-10-14 12:56:09,-22.57,-68.71,109,4.0
2015-10-14 08:35:37,-31.26,-71.46,50,4.2
2015-10-13 19:33:01,-31.17,-71.44,48,4.3
2015-10-12 16:46:42,-30.67,-71.71,35,5.0
2015-10-12 16:01:02,-30.76,-71.37,54,4.5
2015-10-12 14:59:21,-30.57,-71.71,36,4.7
2015-10-12 10:27:59,-30.43,-71.68,31,4.2
2015-10-12 03:31:32,-31.19,-71.79,31,5.0
2015-10-12 03:15:18,-31.18,-71.79,39,5.4
2015-10-12 01:46:46,-30.7,-71.43,46,4.3
2015-10-11 21:23:44,-30.69,-71.41,48,4.3
2015-10-11 16:54:58,-30.7,-71.71,40,4.8
2015-10-11 02:33:32,-30.71,-71.44,48,4.8
2015-10-10 14:26:04,-31.77,-71.65,40,4.1
2015-10-10 13:16:34,-30.52,-71.56,25,4.2
2015-10-09 18:27:34,-31.76,-71.71,36,5.5
2015-10-09 08:20:39,-31.01,-71.31,59,4.1
2015-10-09 06:52:33,-31.52,-71.49,45,4.0
2015-10-09 06:08:55,-30.82,-71.42,48,4.7
2015-10-09 04:09:38,-16.33,-70.0,233,5.5
2015-10-08 08:46:14,-30.71,-71.45,48,4.1
2015-10-07 19:35:16,-30.83,-71.42,52,4.2
2015-10-07 08:00:40,-30.3,-71.23,24,5.2
2015-10-07 03:02:08,-30.78,-71.39,48,4.4
2015-10-06 22:48:33,-30.85,-71.46,46,5.0
2015-10-06 10:47:33,-31.52,-71.45,15,5.1
2015-10-06 06:07:32,-25.21,-70.19,43,4.4
